name,specialties,city,experience,fee,photoUrl,rating,about,isAvailableForCallNow
Prof. Dr. Syed Shamsuddin,"Dermatologist",Quetta,30.0,5000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Prof. Dr. Syed Shamsuddin is a dedicated professional with a passion for patient care.,True
Dr. Jaffar Ali,"Dermatologist",Quetta,32.0,3000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Dr. Jaffar Ali is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Syed Bilal Shams,"Dermatologist, Cosmetic Surgeon",Quetta,15.0,5000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Asst. Prof. Dr. Syed Bilal Shams is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. Surjeet Kumar,"Dermatologist",Quetta,12.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Asst. Prof. Dr. Surjeet Kumar is a dedicated professional with a passion for patient care.,False
Dr. Palwasha Jalil,"Dermatologist",Quetta,8.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Palwasha Jalil is a dedicated professional with a passion for patient care.,False
Dr. Faiza Gul,"Dermatologist",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Dr. Faiza Gul is a dedicated professional with a passion for patient care.,True
Dr. Obed Ullah,"Dermatologist",Quetta,15.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Obed Ullah is a dedicated professional with a passion for patient care.,False
Dr. Saifullah Kakar,"Dermatologist",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Saifullah Kakar is a dedicated professional with a passion for patient care.,True
Dr. Mushtaq Ahmed,"Dermatologist, Dermatologist, Allergy Specialist",Quetta,9.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,93.0,Dr. Dr. Mushtaq Ahmed is a dedicated professional with a passion for patient care.,False
Dr. Shakil Ashraf,"Dermatologist",Quetta,13.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Shakil Ashraf is a dedicated professional with a passion for patient care.,True
Dr. Faisal Baloch,"General Physician, Dermatologist, Aesthetic Physician",Quetta,10.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Dr. Faisal Baloch is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. Seemab Khan,"Dermatologist",Quetta,16.0,700.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Asst. Prof. Dr. Seemab Khan is a dedicated professional with a passion for patient care.,False
Prof. Dr. Muhammad Saleem Barech,"Neurologist",Quetta,27.0,5000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Prof. Dr. Muhammad Saleem Barech is a dedicated professional with a passion for patient care.,False
Dr. Anjum Farooq,"Neurologist",Quetta,10.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Anjum Farooq is a dedicated professional with a passion for patient care.,True
Assoc. Prof. Dr. Zainullah Khan Kakar,"Neuro Psychiatrist, Psychiatrist, Neurologist",Quetta,17.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Assoc. Prof. Dr. Zainullah Khan Kakar is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. Muhammad Ilyas,"Neuro Psychiatrist, Psychiatrist, Neurologist",Quetta,12.0,3000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Asst. Prof. Dr. Muhammad Ilyas is a dedicated professional with a passion for patient care.,False
