HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
National Diagnostic Center,Multan,Ahsan Colony,"National Diagnostic Center, Suraj Miani Road, Ahsan Colony, Multan",3,(061) 4506047
Multan Ultrasound And Mammography Service Hospital,Multan,Ahsan Colony Gillani Colony,"Multan Ultrasound And Mammography Service Hospital, Jail Rd, Ahsan Colony Gillani Colony, Ahsan Colony Gillani Colony, Multan",-,614572601
Rehman Surgicare Hospital,Multan,Airport Road,"Rehman Surgicare Hospital, New Airpot Road, Jamilabad Multan, Airport Road, Multan",-,3111222398
Chugtai Lab Hospital,Multan,Al Rahim Colony,"Chugtai Lab Hospital, Dost Medical Complex Nishtar Road, Al Rahim Colony, Multan",-,3467698947
Dr Asaad Saleem Punjab Eye Care Clinic,Multan,Al Rahim Colony,"Dr Asaad Saleem Punjab Eye Care Clinic, Zainab Arcade, Ghauri Laboratory Plaza, Nishtar Road, Al Rahim Colony, Multan",2,3162896123
Ghazi Lab Hospital,Multan,Al Rahim Colony,"Ghazi Lab Hospital, 4-2 Nishtar Rd, Al Rahim Colony, Multan",1,0311 1222398
Uro Diagnostic Center,Multan,Al Rahim Colony,"Uro Diagnostic Center, Nishtar Road, Al Rahim Colony, Multan",-,nill
Aziz Hospital,Multan,Aziz Hotel Chowk,"Aziz Hospital, Aziz Hotel Chowk, Railway Colony Jalilabad Colony, Aziz Hotel Chowk, Multan",-,(061) 4543786
Minar Multan Institute Of Nuclear Medicine And Radiology Hospital,Multan,Gillani Colony,"Minar Multan Institute Of Nuclear Medicine And Radiology Hospital, Inside Nishtar Hospital, Gillani Colony, Multan",3,619200254
Ashraf Diagnostic Center,Multan,Green Town,"Ashraf Diagnostic Center, Near Pul Wasil Opposite Pso Petrol Station, Green Town, Multan",1,3136534749
Laeeq Rafique Hospital,Multan,Gulabi Wala,"Laeeq Rafique Hospital, Yaqoob Center, Shara-E-Rashid, Gulabi Wala, Multan",1,616529860
Dr Imran Iqbal Clinic,Multan,Jamilabad,"Dr Imran Iqbal Clinic, 205- Main Road Near Chungi No.1, Jamilabad, Multan",-,3018633919
Dr Iqbal Clinic,Multan,Jamilabad,"Dr Iqbal Clinic, 205 Main Road, Near Chungi No. 1, Jamilabad, Multan",-,614549784
Chenab General Hospital,Multan,Jamilabad Colony,"Chenab General Hospital, Chenab General Hospital Room 110 First Floor Chungi, Jamilabad Colony, Multan",8,(061) 4518874
Chenab Dental Care Hospital,Multan,Jamilabad Colony,"Chenab Dental Care Hospital, Inside Chenab Hopsital, Jamilabad Colony, Multan",-,614518874
Hope Nic 1 Child Care Complex Hospital,Multan,Jamilabad Colony,"Hope Nic 1 Child Care Complex Hospital, Chungi No.1 Suraj Miani Road, Jamilabad Colony, Jamilabad Colony, Multan",3,3111222398
Chenab General Hospital (New),Multan,Jamilabad Colony,"Chenab General Hospital (New), Chungi No 1, Suraj Miani Road, Jamilabad Colony, Multan",3,614518874
Islamabad Diagnostic Center Idc,Multan,Main Nishtar Road,"Islamabad Diagnostic Center Idc, Oppsit Dost Plaza Al-Kamal Plaza 94, Main Nishtar Road, Multan",2,3111000432
Shamshad Sugar Center,Multan,Main Nishtar Road,"Shamshad Sugar Center, Zainab Plaza, Near Ghouri Lab, Main Nishtar Road, Multan",1,3111222398
Fatmeen Labotary Hospital,Multan,Main Nishtar Road,"Fatmeen Labotary Hospital, 6C3X+74F, Zawar Hussain Road, Al Rahim Colony, Main Nishtar Road, Multan",-,3066554826
Hearing Care Service Multan Hospital,Multan,Main Nishtar Road,"Hearing Care Service Multan Hospital, Alam Sher Plaza Office No. 5 Near Mri Nishtar Road, Main Nishtar Road, Multan",1,3023423945
Islamabad Specialists Clinic (Nishtar Road Multan),Multan,Multan,"Islamabad Specialists Clinic (Nishtar Road Multan), Adjacent Islamabad Diagnostic Center-Idc, Lalazar Colony, Multan, Multan, Multan",3,3035074090
The Cancer Clinic,Multan,Multan,"The Cancer Clinic, Alam Sher Center Near Multan Mri Center Nishter Road, Multan, Multan",1,3458231846
Bhutta Laboratory And Clinic,Multan,Multan City,"Bhutta Laboratory And Clinic, Bhutta Laboratory And Clinic, Nasir Gardezi Road, Inner City, Multan City, Multan",1,614581913
Al Rehman Dental Care Hospital,Multan,New Multan Colony,"Al Rehman Dental Care Hospital, Jinnah Market Opposite Chugtai Lab, Near Rescue1122, Block U New Multan Colony, New Multan Colony, Multan",1,3457323334
City Specialist Hospital,Multan,Nishar Road,"City Specialist Hospital, Zainab Plaza Near Gori Labortary Nishtar Road, Nishar Road, Multan",2,3111222398
Multan Skin Care Center,Multan,Nishar Road,"Multan Skin Care Center, Zainab Plaza Near Ghouri Lab, Nishar Road, Multan",-,3457207433
Al-Shifa Clinic,Multan,Nishtar Road,"Al-Shifa Clinic, Kareem Plaza Near Agha Khan Lab, Nishtar Road, Multan",-,3111222398
Retina Eye Clinic,Multan,Nishtar Road,"Retina Eye Clinic, Zainab Plaza Near Ghori Laboratory, Nishtar Road, Multan",1,0301 7773398
Orthopaedic Associates Hospital,Multan,Nishtar Road,"Orthopaedic Associates Hospital, Zainab Plaza, Ghauri Laboratory, Nishtar Road, Nishtar Road, Multan",2,3214665544
Multan Kidney Care Clinic,Multan,Nishtar Road,"Multan Kidney Care Clinic, 11- Zainab Plaza, Near Ghori Lab, Nishtar Road, Multan",1,616354501
Alshifa Specialist Centre,Multan,Nishtar Road,"Alshifa Specialist Centre, Alkarim Plaza Basement Near Agha Khan Lab Nishtar Road, Nishtar Road, Multan",1,3012322976
Dental Rehab-Dental Clinic,Multan,Nishtar Road,"Dental Rehab-Dental Clinic, Mehar Centre, Near Excel Laboratory,Nishtar Road,Multan, Nishtar Road, Multan",-,3038874087
Khan Counseling Services Hospital,Multan,Nishtar Road Multan,"Khan Counseling Services Hospital, Shop No 54,55 Near Talha Ultrasound Khan Medical City., Nishtar Road Multan, Multan",5,3247144595
Ycdo Hospital And Diagnostic Center,Multan,Punjab,"Ycdo Hospital And Diagnostic Center, Masoom Shah Near Jan Muhammad Chowk, Punjab, Multan",1,3002022008
Skinuvia The Skin Clinic,Multan,Suraj Miani Road,"Skinuvia The Skin Clinic, National Diagnostic Center Chungi Number 1 Opposite Mezan Bank, Suraj Miani Road, Multan",1,0334 9218266
Contact Kot Addu Medical & Ct Scan Centre Kot Addu,Muzaffar-Garh,Kot Addu,"Contact Kot Addu Medical & Ct Scan Centre Kot Addu, New Zain Plaza, Near Thq Hospital Kot Addu, Kot Addu, Muzaffar Garh",-,0333 8001532
